iter	Passed	Remaining
0	10	10450
1	23	11498
2	30	9996
3	37	9276
4	41	8321
5	45	7599
6	51	7363
7	58	7212
8	62	6873
9	71	7077
10	84	7581
11	91	7539
12	97	7439
13	104	7339
14	108	7104
15	112	6917
16	116	6712
17	119	6545
18	124	6403
19	127	6263
20	131	6152
21	135	6036
22	139	5936
23	143	5855
24	148	5773
25	151	5688
26	155	5602
27	159	5531
28	162	5454
29	166	5387
30	170	5327
31	174	5263
32	177	5210
33	181	5157
34	185	5112
35	189	5066
36	193	5030
37	196	4979
38	199	4925
39	203	4890
40	207	4864
41	211	4827
42	215	4793
43	220	4797
44	224	4771
45	228	4743
46	232	4713
47	236	4688
48	240	4665
49	244	4647
50	248	4627
51	252	4597
52	256	4574
53	263	4608
54	266	4584
55	270	4557
56	273	4528
57	281	4565
58	284	4534
59	289	4540
60	293	4518
61	297	4497
62	301	4479
63	304	4454
64	308	4435
65	312	4415
66	315	4395
67	319	4377
68	323	4361
69	326	4341
70	330	4321
71	333	4300
72	337	4282
73	341	4277
74	345	4259
75	348	4241
76	352	4225
77	356	4208
78	359	4188
79	362	4171
80	366	4156
81	369	4140
82	373	4128
83	377	4112
84	380	4098
85	384	4083
86	387	4069
87	391	4053
88	394	4036
89	397	4023
90	401	4013
91	405	4002
92	409	3989
93	412	3975
94	416	3965
95	420	3955
96	423	3940
97	426	3927
98	430	3914
99	433	3902
100	437	3891
101	440	3877
102	444	3867
103	447	3855
104	451	3844
105	454	3835
106	458	3824
107	461	3815
108	465	3804
109	468	3794
110	472	3784
111	476	3775
112	480	3771
113	484	3762
114	488	3756
115	491	3747
116	495	3737
117	498	3728
118	502	3716
119	505	3708
120	509	3699
121	512	3689
122	516	3681
123	519	3672
124	523	3663
125	526	3653
126	530	3646
127	534	3638
128	537	3629
129	541	3621
130	544	3614
131	548	3607
132	552	3599
133	555	3590
134	559	3583
135	563	3578
136	566	3570
137	570	3564
138	574	3557
139	577	3549
140	581	3543
141	585	3537
142	588	3527
143	592	3520
144	596	3514
145	599	3508
146	603	3502
147	607	3495
148	610	3487
149	614	3480
150	617	3473
151	621	3465
152	624	3457
153	628	3452
154	632	3445
155	635	3438
156	638	3430
157	642	3424
158	646	3417
159	649	3410
160	653	3406
161	657	3400
162	661	3396
163	664	3388
164	668	3382
165	672	3376
166	678	3385
167	682	3379
168	689	3389
169	700	3420
170	710	3446
171	720	3467
172	735	3513
173	745	3540
174	756	3565
175	766	3589
176	777	3613
177	788	3643
178	796	3655
179	805	3668
180	812	3676
181	820	3686
182	827	3693
183	834	3700
184	840	3703
185	846	3702
186	850	3698
187	854	3692
188	859	3686
189	862	3678
190	866	3670
191	870	3665
192	874	3657
193	878	3650
194	882	3644
195	888	3645
196	892	3637
197	896	3631
198	900	3624
199	904	3616
200	907	3608
201	911	3600
202	915	3592
203	918	3584
204	922	3576
205	925	3568
206	930	3563
207	934	3556
208	937	3549
209	941	3542
210	945	3535
211	949	3528
212	952	3520
213	956	3513
214	959	3505
215	963	3496
216	967	3489
217	971	3483
218	974	3475
219	978	3469
220	981	3461
221	985	3454
222	989	3446
223	999	3462
224	1002	3454
225	1006	3447
226	1010	3439
227	1013	3433
228	1018	3427
229	1021	3420
230	1025	3413
231	1028	3406
232	1032	3399
233	1036	3392
234	1039	3385
235	1043	3379
236	1047	3372
237	1051	3367
238	1055	3360
239	1059	3354
240	1063	3347
241	1067	3343
242	1071	3336
243	1074	3330
244	1078	3323
245	1082	3316
246	1085	3310
247	1090	3305
248	1093	3298
249	1097	3292
250	1101	3286
251	1104	3279
252	1108	3273
253	1112	3267
254	1116	3262
255	1119	3254
256	1123	3249
257	1128	3245
258	1132	3239
259	1135	3232
260	1138	3224
261	1142	3218
262	1146	3212
263	1150	3206
264	1153	3200
265	1158	3195
266	1161	3188
267	1165	3183
268	1169	3177
269	1172	3170
270	1176	3164
271	1180	3159
272	1183	3152
273	1187	3146
274	1191	3141
275	1195	3135
